ActivityDate,Id,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
4/3/2016,99990012,1250,2.434649663716633,2063,25,174,897
4/4/2016,99990012,7160,5.127757465352888,2172,1,154,1120
4/5/2016,99990012,9856,5.0291138923650065,2186,5,197,891
4/6/2016,99990012,8834,5.128894764476901,2189,28,261,1015
4/7/2016,99990012,8086,4.4219213576274,1744,9,178,841
4/8/2016,99990012,9441,4.263339479661936,2892,0,159,1099
4/9/2016,99990012,7096,7.278880719040577,2023,0,127,592
4/1/2016,99990013,5295,7.01887296709922,1663,8,181,1034
4/10/2016,99990013,6094,4.222720761906074,2824,19,168,991
4/11/2016,99990013,7250,6.688724222841764,2140,13,140,998
4/12/2016,99990013,4193,6.560817772439845,2046,13,154,935
4/2/2016,99990013,7708,0.2687673011775784,2012,0,153,1010
4/3/2016,99990013,5550,8.37782967303253,2288,2,80,956
4/4/2016,99990013,3767,4.8762152162476164,2247,21,270,1105
4/5/2016,99990013,3958,6.152834417999078,2568,26,112,926
4/6/2016,99990013,2785,4.507714885810504,2550,12,97,989
4/7/2016,99990013,5798,5.447877615491641,2507,11,215,934
4/8/2016,99990013,5479,4.852993648946295,2183,16,210,964
4/9/2016,99990013,4333,5.198271931259004,2576,18,193,1037
3/12/2016,99990014,11058,4.4145647232671985,2241,30,145,1210
3/13/2016,99990014,5596,2.9112955587358904,2467,27,106,1068
3/14/2016,99990014,9848,5.815710881957166,2721,19,137,1103
3/15/2016,99990014,5150,5.2313659682432085,2014,17,132,908
3/16/2016,99990014,7932,6.362795557261007,1976,32,192,1005
3/17/2016,99990014,7154,8.261621621639609,2349,4,144,923
3/18/2016,99990014,6261,3.9841845803202314,2863,24,203,985
3/19/2016,99990014,5597,3.981734508513811,2055,23,132,1132
3/20/2016,99990014,8358,5.9295204844541995,1950,13,193,912
3/21/2016,99990014,6043,5.228894942238565,2550,24,199,1090
3/22/2016,99990014,4409,5.880831293341584,2826,15,215,925
3/23/2016,99990014,7933,5.6337112710420945,2405,27,135,933
3/24/2016,99990014,7850,4.466726558782243,1929,13,175,962
3/25/2016,99990014,3349,4.030245593816733,2154,1,125,1081
3/26/2016,99990014,6907,6.421309375003261,1902,1,92,1049
3/27/2016,99990014,5912,5.7140875301357985,1625,27,205,966
3/28/2016,99990014,6523,5.3868615214647475,2338,21,179,963
3/29/2016,99990014,9057,5.145635419116913,2647,12,139,842
3/30/2016,99990014,6836,4.992692651072604,2331,5,195,1133
3/31/2016,99990014,3239,3.250937175016762,2160,18,176,994
4/1/2016,99990014,7216,3.689516475722729,2523,9,219,908
4/10/2016,99990014,5979,3.4516179857869993,2318,9,153,867
4/11/2016,99990014,9387,7.703502109292323,2860,15,141,1007
4/12/2016,99990014,6302,5.971546235712861,1635,7,115,851
4/2/2016,99990014,7511,3.42733868874821,2009,13,145,978
4/3/2016,99990014,7316,4.001556114659539,1412,12,137,1106
4/4/2016,99990014,4700,4.415834334481183,2278,14,223,889
4/5/2016,99990014,7085,4.782229946310071,1525,10,100,1003
4/6/2016,99990014,3150,2.1191997484309106,2654,20,128,1065
4/7/2016,99990014,6443,5.620752813652204,2377,11,209,826
4/8/2016,99990014,4577,8.418291468621137,2638,29,160,1059
4/9/2016,99990014,8692,5.733746316352848,2832,25,43,743
3/12/2016,99990015,5705,4.594441172933301,2219,21,108,940
3/13/2016,99990015,6490,5.454014957407384,1807,12,143,1098
3/14/2016,99990015,4855,3.415943295291191,2011,0,158,970
3/15/2016,99990015,10460,5.135208040954018,2044,5,144,902
3/16/2016,99990015,7707,5.228306283908596,2156,1,155,1062
3/17/2016,99990015,9380,4.002480011472927,2046,27,145,800
3/18/2016,99990015,4257,4.840534318650505,2532,22,223,873
3/19/2016,99990015,7327,4.231238658017177,1980,33,143,998
3/20/2016,99990015,6602,4.851556614597601,1868,23,141,891
3/21/2016,99990015,4502,5.240046883425019,2173,12,192,1107
3/22/2016,99990015,4162,6.109315194806778,1881,6,195,781
3/23/2016,99990015,11497,5.0150498954226626,2340,21,219,993
3/24/2016,99990015,7119,4.0128922317054405,2003,15,234,1023
3/25/2016,99990015,3478,6.400809282416979,1943,20,162,1099
3/26/2016,99990015,4668,4.294999115592469,2641,28,190,1102
3/27/2016,99990015,4813,1.2723486075337385,2747,17,138,1006
3/28/2016,99990015,4687,4.11704168333505,1993,14,116,980
3/29/2016,99990015,7501,5.6271561215055055,2736,13,174,1048
3/30/2016,99990015,5483,4.610479766476051,1608,18,149,1009
3/31/2016,99990015,6508,5.978875465796916,1939,33,200,962
4/1/2016,99990015,3858,3.528244143773774,2322,9,178,932
4/10/2016,99990015,7590,4.947275138780161,2570,1,186,895
4/11/2016,99990015,6333,3.8865523700206412,2325,22,166,1107
4/12/2016,99990015,2339,6.165979605990384,1887,21,207,856
4/2/2016,99990015,5815,4.64509957745621,2033,27,158,893
4/3/2016,99990015,9422,6.396088201696584,2413,17,53,1055
4/4/2016,99990015,7050,4.681136192144712,2046,11,110,897
4/5/2016,99990015,7871,3.1969050396890335,2150,0,113,1151
4/6/2016,99990015,6930,3.4066619219886105,2061,38,184,1143
4/7/2016,99990015,7825,6.1120526578016,2464,2,252,1102
4/8/2016,99990015,8273,2.9805807266136064,2463,19,251,1040
4/9/2016,99990015,8273,3.676492098179212,2319,0,182,1048
3/29/2016,99990016,6148,1.985068651521214,2605,1,129,1017
3/30/2016,99990016,9508,1.99938928481938,2184,0,190,1189
3/31/2016,99990016,6960,6.783640341915738,2432,20,206,973
4/1/2016,99990016,3056,3.1045701629819193,2249,0,226,1137
4/2/2016,99990016,6009,3.716640597563525,2326,23,165,953
4/3/2016,99990016,5157,1.9814799826546712,2465,16,164,1044
4/4/2016,99990016,5457,3.5120776881181945,2123,30,264,976
4/5/2016,99990016,531,5.944726414807859,2461,28,140,690
4/6/2016,99990016,7499,2.155663967731596,2144,25,86,948
4/7/2016,99990016,5653,4.060849259902108,2200,14,190,1075
4/8/2016,99990016,8085,8.479848379431047,2125,0,196,878
4/9/2016,99990016,7024,2.362007162294767,2422,3,129,951
3/29/2016,99990017,5994,6.579675186899822,2062,21,136,1106
3/30/2016,99990017,6269,1.8098717992277527,1696,15,206,971
3/31/2016,99990017,8272,3.042300564313196,2377,10,196,1278
4/1/2016,99990017,8751,6.935172452459525,1974,20,121,1436
4/2/2016,99990017,5259,6.1107769942779235,2075,18,82,1040
4/3/2016,99990017,7211,6.0465620191883875,2423,22,133,1174
4/4/2016,99990017,7699,3.275190189495394,2086,2,221,960
4/5/2016,99990017,4850,3.5531062442027173,2391,0,175,941
3/29/2016,99990018,6306,4.525002473905089,1816,13,178,999
3/30/2016,99990018,6249,4.307759308802023,2266,17,127,999
3/31/2016,99990018,9662,3.511224104814391,2091,15,169,972
4/1/2016,99990018,4594,3.249643949359508,2129,7,153,1114
4/10/2016,99990018,4773,5.693618711287405,1874,43,250,1019
4/11/2016,99990018,1795,6.274098360443616,2150,18,156,681
4/12/2016,99990018,2747,2.4363316057430153,2171,16,206,1118
4/2/2016,99990018,7086,4.432699757744189,1537,38,173,985
4/3/2016,99990018,9031,5.651763473447456,2033,26,106,1156
4/4/2016,99990018,6261,3.1298052364241973,2189,20,152,919
4/5/2016,99990018,8219,5.3321849115566495,1969,14,185,936
4/6/2016,99990018,7469,4.567326199642527,2627,3,133,899
4/7/2016,99990018,5196,7.038874980563289,2646,19,197,1035
4/8/2016,99990018,2499,8.189947939258852,2251,21,229,965
4/9/2016,99990018,5986,4.502503085375023,2168,15,169,1104
4/1/2016,99990019,6565,2.377757565179917,1612,2,73,1091
4/10/2016,99990019,11380,1.4902082536784298,2471,2,170,1109
4/11/2016,99990019,6884,6.853199962573509,2395,1,267,909
4/12/2016,99990019,7574,4.870495497640486,1983,3,235,1033
4/2/2016,99990019,11091,6.907034863438369,1763,33,87,895
4/3/2016,99990019,4990,7.141808945660079,1947,10,221,1148
4/4/2016,99990019,6248,4.058559141779631,2166,34,201,933
4/5/2016,99990019,6025,7.374748513558149,2404,22,103,760
4/6/2016,99990019,9085,5.054732606561165,2101,5,196,1071
4/7/2016,99990019,7315,5.646702463073327,2662,16,121,1015
4/8/2016,99990019,9374,2.529062268867833,2444,8,150,867
4/9/2016,99990019,6161,5.089572824530206,1899,25,197,1193
3/29/2016,99990020,5482,5.70623744719142,1766,0,150,868
3/30/2016,99990020,7270,3.1408055330709126,2310,22,204,992
3/31/2016,99990020,4951,6.817100801393594,2025,14,141,920
4/1/2016,99990020,6215,2.8459905314571694,2272,0,149,983
4/10/2016,99990020,7198,4.92873659327783,2070,19,251,991
4/11/2016,99990020,5284,5.771449869364355,2416,27,216,625
4/12/2016,99990020,5310,1.4398217305231462,2489,21,53,985
4/2/2016,99990020,9137,4.70226752579922,2418,12,216,866
4/3/2016,99990020,7783,3.321604818694043,2326,11,132,1005
4/4/2016,99990020,3834,2.706044555055173,2275,17,180,916
4/5/2016,99990020,5277,2.351174620231381,2234,2,192,1152
4/6/2016,99990020,2405,7.178189675166154,2276,9,237,1026
4/7/2016,99990020,2571,4.1589105274177935,2477,14,112,983
4/8/2016,99990020,4089,3.406182012235498,1964,16,200,794
4/9/2016,99990020,6822,6.215456208731682,2310,14,209,824
4/1/2016,99990021,6683,6.338848335122799,2012,4,121,899
4/10/2016,99990021,5174,4.634066788523296,2097,10,123,977
4/11/2016,99990021,8613,4.960557804331415,2232,44,142,775
4/12/2016,99990021,6266,4.950201574260452,2689,18,285,1165
4/2/2016,99990021,6798,4.023890064311486,2066,0,122,900
4/3/2016,99990021,6393,5.5166513076007435,2184,6,151,1267
4/4/2016,99990021,5210,6.878610413905557,2395,20,198,1036
4/5/2016,99990021,7226,5.051262376381359,1809,6,196,1080
4/6/2016,99990021,5567,5.2887947578900345,2836,42,163,880
4/7/2016,99990021,9140,5.607791296412129,2205,0,282,1087
4/8/2016,99990021,3898,5.691036927259162,1866,1,189,1179
4/9/2016,99990021,6441,2.107079767503199,2522,6,153,997
4/1/2016,99990022,9031,4.774101452618458,2158,0,155,1010
4/10/2016,99990022,9132,5.234608968786314,2598,17,188,829
4/11/2016,99990022,5781,1.20674563847456,2111,5,246,973
4/2/2016,99990022,6211,5.8113918229551285,1828,15,179,1107
4/3/2016,99990022,6851,5.8821572594994915,2398,26,127,1299
4/4/2016,99990022,5945,12.33022337196633,2315,22,157,805
4/5/2016,99990022,6153,5.28722075309404,2425,18,181,1186
4/6/2016,99990022,5692,3.8022884071240144,2200,17,91,935
4/7/2016,99990022,7038,3.2972922177303126,2197,30,149,1252
4/8/2016,99990022,8989,4.441705624467714,2888,0,156,920
4/9/2016,99990022,8412,4.570315641880494,1496,31,86,1050
4/1/2016,99990023,7335,3.043236522789759,2588,39,127,1022
4/10/2016,99990023,6553,4.795493520504587,1531,15,166,1114
4/2/2016,99990023,6565,3.678319787746866,2764,33,48,938
4/3/2016,99990023,7450,6.6862021962353655,1124,19,118,922
4/4/2016,99990023,7581,3.2900634194702416,1935,0,149,854
4/5/2016,99990023,3658,4.650477494193011,2258,25,158,989
4/6/2016,99990023,5886,6.084997271560833,2645,13,278,684
4/7/2016,99990023,6508,5.105500548844198,1903,15,168,997
4/8/2016,99990023,8416,4.988652118716551,2230,10,135,852
4/9/2016,99990023,3545,4.749646160482633,2069,11,227,813
4/1/2016,99990024,8558,1.971355139777423,2424,3,255,922
4/10/2016,99990024,3410,5.398592110124719,2948,7,179,1309
4/2/2016,99990024,7458,5.532157389540541,2000,12,179,1130
4/3/2016,99990024,1658,5.719556850408761,2333,9,161,987
4/4/2016,99990024,5078,6.353486697501596,2591,8,141,995
4/5/2016,99990024,4703,2.3316084350998003,2487,33,236,1054
4/6/2016,99990024,6542,6.291406011478419,2624,3,98,754
4/7/2016,99990024,8075,3.9746867789439917,2674,35,118,913
4/8/2016,99990024,3591,7.175608807312729,2063,3,119,955
4/9/2016,99990024,7174,7.73702912705115,2151,23,163,921
4/1/2016,99990025,8962,2.2117728468814706,1895,5,217,1020
4/2/2016,99990025,9661,2.132908537027958,2372,12,107,945
4/3/2016,99990025,5948,6.495849000725373,2301,13,195,1038
4/4/2016,99990025,7516,3.2721322538121593,1950,27,178,699
4/5/2016,99990025,12762,4.535321951029743,2278,31,18,847
4/6/2016,99990025,2806,3.370532017824618,1864,23,165,905
4/7/2016,99990025,9632,4.896050601918497,2537,9,95,1048
4/8/2016,99990025,4700,4.9472511542324,2228,22,266,1049
4/9/2016,99990025,11616,1.8392569846744862,2067,8,155,961
4/1/2016,99990026,5481,3.5977725592244747,2945,0,111,1200
4/2/2016,99990026,3413,4.129497558977919,2080,11,205,1058
4/3/2016,99990026,3841,4.322054789246581,1410,24,169,1026
4/4/2016,99990026,5209,5.119554305995844,2076,3,114,990
4/5/2016,99990026,10269,4.302180215464811,2220,0,49,1003
4/6/2016,99990026,8250,2.174889590556545,2235,37,96,1123
4/7/2016,99990026,8360,5.9004176103075014,1683,9,235,816
4/8/2016,99990026,1947,3.511794307323367,2090,26,168,618
4/9/2016,99990026,6123,6.890671391645029,2340,40,166,1218
3/30/2016,99990027,6494,5.190422499139656,2275,21,233,908
3/31/2016,99990027,5987,5.4164651927770535,2202,1,155,784
4/1/2016,99990027,7131,2.2150859716806592,2555,25,110,1107
4/10/2016,99990027,4952,5.361597846433026,2773,29,157,1099
4/11/2016,99990027,7114,5.89222661987844,1713,31,155,817
4/12/2016,99990027,5553,5.682581012972581,2433,10,200,815
4/2/2016,99990027,3517,5.013507063825086,1693,37,162,973
4/3/2016,99990027,9834,6.006701697094906,2101,11,138,1176
4/4/2016,99990027,6379,4.287840181765653,2179,8,135,826
4/5/2016,99990027,6273,3.268946793287547,2577,9,190,668
4/6/2016,99990027,6086,6.901452692363122,2321,1,126,675
4/7/2016,99990027,9519,4.09947933536683,2147,12,243,1101
4/8/2016,99990027,4478,4.930883656153264,2794,23,56,921
4/9/2016,99990027,6917,2.985130331483173,2012,6,187,1031
4/1/2016,99990028,6974,3.844813226127936,2658,17,170,937
4/10/2016,99990028,5313,7.475125106477686,1993,18,106,936
4/11/2016,99990028,4783,6.444120597693933,2041,38,207,996
4/12/2016,99990028,4535,1.3482417549147567,2018,27,220,952
4/2/2016,99990028,11971,4.134674927770161,1428,14,208,1065
4/3/2016,99990028,8186,3.613318737070085,1784,19,128,650
4/4/2016,99990028,5667,3.890978444188833,2386,11,174,1133
4/5/2016,99990028,5572,5.520967266849797,2271,33,208,1029
4/6/2016,99990028,9183,4.5371394452737235,1923,8,137,1042
4/7/2016,99990028,8517,3.5568620434413694,2228,13,142,894
4/8/2016,99990028,5126,5.387939567225996,2190,31,153,1238
4/9/2016,99990028,8204,4.614717593561128,1922,33,209,1017
4/1/2016,99990029,6147,6.513979887189424,2645,4,215,802
4/10/2016,99990029,6301,5.653047443287601,1662,1,102,859
4/11/2016,99990029,7855,7.420063633541669,2133,32,131,899
4/12/2016,99990029,5236,4.747414579754477,2508,3,153,956
4/2/2016,99990029,2871,3.1564478779946366,1790,16,230,1020
4/3/2016,99990029,7649,3.6015534697457285,2275,7,108,928
4/4/2016,99990029,4426,2.445942446528938,2794,33,97,721
4/5/2016,99990029,8916,3.66071824367335,2247,28,215,921
4/6/2016,99990029,5428,3.533268481715198,2395,48,211,1020
4/7/2016,99990029,3260,2.6935904143957408,1912,15,255,899
4/8/2016,99990029,7331,3.2549375910211147,1719,39,117,942
4/9/2016,99990029,10533,3.147575113747143,2043,24,118,891
4/10/2016,99990030,6800,3.9138012279326033,1862,0,239,787
4/11/2016,99990030,8537,5.957392996323634,2513,18,188,1116
4/12/2016,99990030,8902,3.387217426328948,2142,22,226,971
4/2/2016,99990030,6448,5.089613050458448,2215,20,179,1105
4/3/2016,99990030,2735,3.3546718082611795,1758,15,287,1001
4/4/2016,99990030,4890,2.31103052579984,1914,13,149,948
4/5/2016,99990030,7188,2.6935301599762154,1577,0,79,892
4/6/2016,99990030,1257,1.7477398387681529,1844,3,188,1059
4/7/2016,99990030,6909,3.0704344878090435,1942,5,202,1189
4/8/2016,99990030,5177,3.061628838951087,2467,36,107,873
4/9/2016,99990030,6994,3.212840895691535,2169,18,265,1184
4/1/2016,99990031,7187,6.568327991570875,2417,24,201,826
4/10/2016,99990031,9794,4.531808668241037,1900,12,171,773
4/11/2016,99990031,5534,7.094791073181208,2345,14,87,775
4/12/2016,99990031,10967,4.804248185997477,2062,19,144,851
4/2/2016,99990031,8343,4.1715451496271605,2609,19,217,857
4/3/2016,99990031,5592,6.910156999646137,2375,36,110,854
4/4/2016,99990031,6709,4.913658659332948,2052,22,122,1034
4/5/2016,99990031,3624,4.800202215823569,2389,6,117,961
4/6/2016,99990031,7484,5.268372556081994,1563,0,176,1000
4/7/2016,99990031,6471,6.100871099050744,1787,8,227,1024
4/8/2016,99990031,4307,4.929153723361201,2053,0,190,1091
4/9/2016,99990031,7085,4.915555828804497,2367,27,156,857
4/1/2016,99990032,4539,1.5026483576567329,2304,17,123,881
4/10/2016,99990032,4747,7.644228302305046,1818,23,187,746
4/11/2016,99990032,6964,5.9421471111868644,2550,12,128,1001
4/12/2016,99990032,7790,2.6590265399356956,2240,8,91,1027
4/2/2016,99990032,6392,0.9598286281433066,2361,12,205,1211
4/3/2016,99990032,4656,4.191239009090142,1474,24,249,788
4/4/2016,99990032,5919,1.3270569973398465,2726,36,193,1031
4/5/2016,99990032,4393,5.2633603248427345,1996,2,122,762
4/6/2016,99990032,6049,5.144509899612868,1841,0,284,933
4/7/2016,99990032,6348,7.730970305412833,2210,12,222,958
4/8/2016,99990032,8329,2.1298845293596003,2546,10,145,954
4/9/2016,99990032,8849,4.959535281413382,2659,17,173,981
4/1/2016,99990033,8115,4.818083934736477,2247,30,131,945
4/2/2016,99990033,9033,4.8629234607274245,1962,0,174,900
4/3/2016,99990033,7595,4.685019922284778,1400,24,169,1013
4/4/2016,99990033,7795,2.5925060681811187,2222,26,142,1138
4/5/2016,99990033,3131,2.314187652076285,2361,36,169,934
4/6/2016,99990033,8079,4.566110200539733,1976,33,251,999
4/7/2016,99990033,5762,2.1831691092264456,2436,13,160,1062
4/8/2016,99990033,6606,5.6687551715303055,2564,1,142,1076
4/1/2016,99990034,7939,2.893826083908679,1450,15,206,1201
4/10/2016,99990034,10091,5.680735719684169,1910,12,167,1129
4/11/2016,99990034,8471,4.773310098281048,1785,9,237,767
4/12/2016,99990034,7477,7.790619683330324,2609,7,68,914
